what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1588001737987
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1588001737987
java.specification.name,sysinfo,,,"Java Platform API Specification",1588001737987
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1588001737987
java.specification.version,sysinfo,,,"1.6",1588001737987
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1588001737987
java.version,sysinfo,,,"1.6.0_23",1588001737987
java.vm.info,sysinfo,,,"mixed mode",1588001737987
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1588001737987
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1588001737987
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1588001737987
java.vm.specification.version,sysinfo,,,"1.0",1588001737987
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1588001737987
java.vm.version,sysinfo,,,"19.0-b09",1588001737987
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1588001740235
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1588001740924
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1588001750542
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1588001750712
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1588001750885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588001752578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588001757682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1588001757702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588001761006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588001762478
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1588001762599
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588001762680
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1588001763049
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1588001763050
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1588001763051
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1588001763051
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1588001763052
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1588001763052
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1588001763052
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1588001763052
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1588001763052
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1588001763053
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1588001763054
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1588001763055
